koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_model_snr,koi_steff,koi_steff_err1,ra,dec,koi_predicted
0,0,0,0,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,0.016,-0.004,2.22739,0.0075,-0.0075,-20.0,12.21,1.96,-1.46,349.4,146.52,696.5,5712,77,292.16705,48.727589,FALSE POSITIVE
0,0,0,0,40.4195037,0.0001139,-0.0001139,173.56468999999998,0.0022199999999999998,5.567,-0.11800000000000001,3.362,0.14,-0.14,-230.0,7.51,1.12,-0.91,11.29,5.67,36.9,5446,179,294.31686,50.080231,FALSE POSITIVE
0,0,0,0,7.240661200000001,1.62e-05,-1.62e-05,137.75545,0.002,49.85,-0.258,0.5579999999999999,0.171,-0.171,-44.1,19.45,1.4,-0.71,68.63,15.32,13.7,5005,79,293.83331,50.23035,FALSE POSITIVE
0,0,0,0,3.43591631,4.73e-05,-4.73e-05,132.6624,0.011000000000000001,0.037000000000000005,-0.47600000000000003,3.133,0.40700000000000003,-0.40700000000000003,-3.4,0.55,0.08,-0.07,617.61,251.11,8.7,5779,104,287.88732999999996,46.276241,FALSE POSITIVE
0,0,0,0,1.626630225,1.02e-06,-1.02e-06,169.820171,0.000487,4.827,-0.043,2.1145,0.0285,-0.0285,-19.0,32.43,9.0,-4.83,1355.88,1105.99,103.6,5735,155,294.36818999999997,38.31028,FALSE POSITIVE
0,0,0,0,10.181583999999999,6.19e-06,-6.19e-06,177.141891,0.00048300000000000003,0.006999999999999999,-0.005,3.5089,0.0331,-0.0331,-53.2,7.73,2.17,-0.72,102.91,86.75,183.6,5988,179,291.28195,38.241669,FALSE POSITIVE
0,0,0,0,9.02930689,1.65e-05,-1.65e-05,177.20422,0.0014199999999999998,0.401,-0.024,3.1449,0.0528,-0.0528,-21.9,2.57,0.44,-0.26,77.75,43.01,53.9,5349,167,290.33362,38.728229999999996,FALSE POSITIVE
0,0,0,0,4.783002698,5.43e-06,-5.43e-06,170.50843400000002,0.0009429999999999999,0.425,-0.003,2.335,0.0332,-0.0332,-16.6,2.5,0.34,-0.19,145.48,66.39,70.6,5170,155,287.09398999999996,39.060719,FALSE POSITIVE
0,0,0,0,6.54626149,2.6700000000000002e-05,-2.6700000000000002e-05,133.85963999999998,0.00317,0.295,-0.43799999999999994,2.75,0.111,-0.111,-30.0,2.19,0.22,-0.08,101.78,31.02,24.8,5251,105,292.23676,41.085879999999996,FALSE POSITIVE
0,0,0,0,235.99863990000003,0.0002773,-0.0002773,208.399822,0.000898,0.006,-0.008,8.2284,0.0606,-0.0606,-91.7,10.59,0.35,-0.52,0.29,0.05,271.8,4245,85,293.00797,42.307201,FALSE POSITIVE
0,0,0,0,39.74893077,1.55e-05,-1.55e-05,172.854644,0.000301,0.003,-0.003,7.3051,0.0213,-0.0213,-44.1,14.21,4.46,-1.49,21.87,20.59,561.1,6122,181,293.17929,41.969238,FALSE POSITIVE
0,0,0,0,119.0207044,0.0001179,-0.0001179,222.236492,0.000704,0.17300000000000001,-0.076,8.1405,0.0382,-0.0382,-38.4,8.98,1.23,-1.35,4.25,1.58,223.5,5453,81,291.58377,42.368159999999996,FALSE POSITIVE
0,0,0,0,3.96996298,1.4000000000000001e-05,-1.4000000000000001e-05,137.75447,0.0031,0.10099999999999999,-0.602,1.1757,0.09699999999999999,-0.09699999999999999,-24.5,1.78,0.09,-0.16,229.37,41.51,15.0,5121,76,290.39322000000004,43.363898999999996,FALSE POSITIVE
0,0,0,0,2.6888992330000003,1.9e-07,-1.9e-07,170.1020904,5.610000000000001e-05,0.061,-0.001,2.11275,0.0025399999999999997,-0.0025399999999999997,-44.0,12.04,1.36,-0.79,175.76,66.28,1011.6,4820,130,296.68307000000004,42.967869,FALSE POSITIVE
0,0,0,0,83.92494032,8e-05,-8e-05,236.76334,0.000718,0.031,-0.052000000000000005,6.7904,0.0748,-0.0748,-54.8,4.78,0.34,-0.47,0.62,0.18,182.1,3960,118,287.85239,43.897991,FALSE POSITIVE
0,0,0,0,13.81020318,2.97e-05,-2.97e-05,172.33533,0.00175,0.033,-0.5429999999999999,3.048,0.0635,-0.0635,-31.5,4.56,1.33,-0.88,113.75,99.51,46.2,5942,176,281.96063,43.703109999999995,FALSE POSITIVE
0,0,0,0,3.8866552239999996,7.82e-06,-7.82e-06,169.73814,0.00155,0.053,-0.47600000000000003,3.1646,0.0604,-0.0604,-13.9,1.87,0.36,-0.15,246.29,141.54,48.1,5662,153,288.72665,44.60751,FALSE POSITIVE
0,0,0,0,39.4759093,0.0001317,-0.0001317,173.31207,0.0025,0.011000000000000001,-0.647,2.968,0.146,-0.146,-42.8,4.06,1.31,-0.44,26.13,24.8,26.6,6225,172,291.20804,45.244389,FALSE POSITIVE
0,0,0,0,102.9641952,0.0005766,-0.0005766,158.07473000000002,0.0037700000000000003,0.005,-0.006999999999999999,15.735,0.263,-0.263,-27.3,39.0,1.1,-9.39,95.4,8.7,86.1,5047,40,296.81772,46.781509,FALSE POSITIVE
0,0,0,0,90.1240507,0.0004433,-0.0004433,356.23415,0.0032,0.079,-0.415,11.649000000000001,0.28,-0.28,-57.5,7.12,2.41,-0.8,13.09,13.03,57.9,6520,180,293.22391,38.033581,FALSE POSITIVE
0,0,0,0,0.689210173,4.5e-07,-4.5e-07,133.28583999999998,0.0005200000000000001,0.271,-0.154,1.6169,0.0179,-0.0179,-2.4,1.32,0.19,-0.06,3362.71,1364.69,93.4,5630,100,281.55118,47.469959,FALSE POSITIVE
0,0,0,0,13.11896244,6.04e-06,-6.04e-06,261.53943399999997,0.00032900000000000003,0.271,-0.042,4.3045,0.0122,-0.0122,-1.5,8.25,0.45,-2.5,2310.43,419.83,267.4,7221,114,282.00031,48.542221000000005,FALSE POSITIVE
0,0,0,0,53.5057611,0.00015959999999999998,-0.00015959999999999998,172.98304,0.00248,0.002,-0.441,10.5616,0.077,-0.077,-3.1,2.52,0.16,-0.12,49.16,9.16,71.2,6247,75,295.80267000000003,45.988079,FALSE POSITIVE
0,0,0,0,6.79685353,2.25e-05,-2.25e-05,138.11324,0.00297,0.33,-0.389,3.1702,0.0835,-0.0835,-14.9,2.01,0.62,-0.2,222.91,206.66,29.8,6061,180,294.16321,41.451801,FALSE POSITIVE
0,0,0,0,13.4471791,1.25e-05,-1.25e-05,132.830555,0.0007700000000000001,0.013000000000000001,-0.008,3.0454,0.0546,-0.0546,-21.1,5.24,1.64,-0.7,122.34,112.28,105.3,6276,169,292.37476000000004,37.630959000000004,FALSE POSITIVE
0,0,0,0,1.353771892,3.75e-06,-3.75e-06,261.43662,0.002,0.56,-0.13699999999999998,7.0120000000000005,0.212,-0.212,-23.3,430.99,136.1,-48.62,136609.48,117403.45,76.7,4283,77,292.71963999999997,48.852016,FALSE POSITIVE
